"","value","est","lambda","type"
"1",0.250896588744518,"Pearson","0","MAE"
"2",0.24863162981844,"Pearson","0","MAE"
"3",0.252112362034527,"Pearson","0","MAE"
"4",0.251650712764805,"Pearson","0","MAE"
"5",0.25963398166269,"Pearson","0","MAE"
"6",0.251692691696525,"Pearson","0","MAE"
"7",0.245687726602985,"Pearson","0","MAE"
"8",0.257765855731566,"Pearson","0","MAE"
"9",0.247180932849596,"Pearson","0","MAE"
"10",0.262861321624995,"Pearson","0","MAE"
"11",0.251270846505189,"Pearson","0.1","MAE"
"12",0.263034002344795,"Pearson","0.1","MAE"
"13",0.257539782315814,"Pearson","0.1","MAE"
"14",0.24732263386387,"Pearson","0.1","MAE"
"15",0.258391264461916,"Pearson","0.1","MAE"
"16",0.251035061903062,"Pearson","0.1","MAE"
"17",0.248816681282524,"Pearson","0.1","MAE"
"18",0.27952437405992,"Pearson","0.1","MAE"
"19",0.251453407235445,"Pearson","0.1","MAE"
"20",0.256279631775595,"Pearson","0.1","MAE"
"21",0.236444376306289,"Pearson","0.2","MAE"
"22",0.239420009093916,"Pearson","0.2","MAE"
"23",0.256011107742589,"Pearson","0.2","MAE"
"24",0.237689897265985,"Pearson","0.2","MAE"
"25",0.259497663656365,"Pearson","0.2","MAE"
"26",0.249323252194074,"Pearson","0.2","MAE"
"27",0.245505879603936,"Pearson","0.2","MAE"
"28",0.260086417686864,"Pearson","0.2","MAE"
"29",0.238595779504487,"Pearson","0.2","MAE"
"30",0.247132798661863,"Pearson","0.2","MAE"
"31",0.250953606865614,"Pearson","0.3","MAE"
"32",0.233185011727294,"Pearson","0.3","MAE"
"33",0.223450466767421,"Pearson","0.3","MAE"
"34",0.252749035324906,"Pearson","0.3","MAE"
"35",0.247301513671713,"Pearson","0.3","MAE"
"36",0.233211774610962,"Pearson","0.3","MAE"
"37",0.23386347066768,"Pearson","0.3","MAE"
"38",0.23769211043321,"Pearson","0.3","MAE"
"39",0.231487844641441,"Pearson","0.3","MAE"
"40",0.237545520505166,"Pearson","0.3","MAE"
"41",0.256850512746599,"Pearson","0.4","MAE"
"42",0.237974578786808,"Pearson","0.4","MAE"
"43",0.254113831859739,"Pearson","0.4","MAE"
"44",0.250869536092892,"Pearson","0.4","MAE"
"45",0.242961807569847,"Pearson","0.4","MAE"
"46",0.227619490494597,"Pearson","0.4","MAE"
"47",0.226768163025398,"Pearson","0.4","MAE"
"48",0.219893969040065,"Pearson","0.4","MAE"
"49",0.270554157249082,"Pearson","0.4","MAE"
"50",0.254968319079644,"Pearson","0.4","MAE"
"51",0.239929259474293,"Pearson","0.5","MAE"
"52",0.216175814081955,"Pearson","0.5","MAE"
"53",0.24990345517822,"Pearson","0.5","MAE"
"54",0.2403590715178,"Pearson","0.5","MAE"
"55",0.275113641904046,"Pearson","0.5","MAE"
"56",0.241490433279131,"Pearson","0.5","MAE"
"57",0.24828118272018,"Pearson","0.5","MAE"
"58",0.204230315139321,"Pearson","0.5","MAE"
"59",0.214563671690728,"Pearson","0.5","MAE"
"60",0.243987393645765,"Pearson","0.5","MAE"
"61",0.198585733010854,"Pearson","0.6","MAE"
"62",0.254398303141231,"Pearson","0.6","MAE"
"63",0.254765616859789,"Pearson","0.6","MAE"
"64",0.185068049273581,"Pearson","0.6","MAE"
"65",0.195198086362997,"Pearson","0.6","MAE"
"66",0.222699715792814,"Pearson","0.6","MAE"
"67",0.264439903189015,"Pearson","0.6","MAE"
"68",0.220731024331504,"Pearson","0.6","MAE"
