"","1comcol","2reg","3intercept","4spatial","5comcol and reg","6comcol and spatial","7reg and spatial"
"136.2",0.18610002822741,NA,NA,NA,NA,NA,NA
"92.1",NA,0.177461848108796,NA,NA,NA,NA,NA
"67",0.0994893032478277,0.144052191512513,NA,NA,NA,NA,NA
"110.4",NA,NA,0.0622245298226873,NA,NA,NA,NA
"77.1",0.117982985587493,NA,0.0546153408086612,NA,NA,NA,NA
"48.4",NA,0.11062802504859,0.0594671246079922,NA,NA,NA,NA
"32.6",0.0746497449336244,0.0983608451340015,0.0558587575523298,NA,NA,NA,NA
"61.9",NA,NA,NA,0.264764890561928,NA,NA,NA
"47.3",0.0895465707247861,NA,NA,0.222808879589144,NA,NA,NA
"39.2",NA,0.0863672747173026,NA,0.20355564907222,NA,NA,NA
"31.9",0.0646918182530012,0.0768510138281889,NA,0.179996004374989,NA,NA,NA
"6.2",NA,NA,0.0640446001594338,0.205903283480152,NA,NA,NA
"4.5",0.0407081452372962,NA,0.063670005613454,0.190016286519794,NA,NA,NA
"1.8",NA,0.043648291234332,0.0604844704909737,0.178492176428392,NA,NA,NA
"0",0.0382376239392473,0.0440820110106786,0.0601161548394275,0.162288627562501,NA,NA,NA
"57.7",0.0589347531748525,0.147030291760274,NA,NA,0.138635503085262,NA,NA
"22.6",0.0345401278558055,0.0989606045704334,0.0539557544423342,NA,0.149433482023064,NA,NA
"27.8",0.0334372485692292,0.0831841902203908,NA,0.166160975485123,0.116942351216977,NA,NA
"-3",0.0146989242904766,0.0486219874852162,0.0575354209860753,0.151029795130687,0.107726650506909,NA,NA
"34.6",0.049025997710881,NA,NA,0.171210923469863,NA,0.246320825841379,NA
"15.1",0.0310014015987028,0.0778167168717609,NA,0.122685618095734,NA,0.238434093945924,NA
"-8",0.00822794170171793,NA,0.0612200054022346,0.151474771147311,NA,0.231188396814762,NA
"-14.8",0.0104411732469277,0.0484566201678811,0.05690247365412,0.106709252310105,NA,0.244781384013931,NA
"17.2",0.0272223933046715,0.0797079841331211,NA,0.121070239821553,0.0252327478369189,0.220960866832824,NA
"-12.4",0.010076199400079,0.0486530247671851,0.0568682340967285,0.106528244155718,0.00310546310126133,0.242635346942592,NA
"37.8",NA,0.0585105526684344,NA,0.148174332266199,NA,NA,0.103401192000847
"28.3",0.0721301424181264,0.0367387849437694,NA,0.111690387876244,NA,NA,0.129005152532445
"-7",NA,1.51325475468133e-05,0.0625561866965945,0.0925046466292887,NA,NA,0.1662164186332
"-9.3",0.040880769514067,8.88958269991154e-06,0.0620210009039709,0.0742393365241506,NA,NA,0.167883906120626
"23.6",0.0403194457210516,0.0367100627165889,NA,0.100649597438539,0.123563606319138,NA,0.129883698557026
"-13.2",0.0161468264320984,3.34807273971029e-06,0.0593027275848995,0.0624194691614062,0.118230359602633,NA,0.169692667959536
"11.6",0.0354316831779107,0.0356553845874117,NA,0.0862044066338731,NA,0.212104202687045,0.106311052115906
"-28.8",0.0082949836068481,1.33754068632471e-06,0.060915825200225,0.0455946920426364,NA,0.218144535867402,0.145439263960013
"13.6",0.0304532944219186,0.0359428967035735,NA,0.0842385988376715,0.0341920634403787,0.188698822302495,0.107900842847306
"-26.4",0.00824481576523819,2.48964443417784e-06,0.0609297101951539,0.0454725192112934,0.000113734685746673,0.218120179224694,0.145531518354496
