Index,country_name,Notes,country_code,ISO3 Alpha-code,Location Type Code,Name,reg_code,reg_name,area_code,area_name,More Developed Regions,Less Developed Regions,Least developed countries,"Less developed regions, excluding least developed countries",HIV/AIDS mortality modelling in WPP 2008 revision,Prevalence rate (%) ,< 1%,1-5%,5-10%,10-20%,> 20%,Max(HIV),Year for max(HIV),Lag = 2007-year(maxHIV),UNAIDS 2006 revision,UNAIDS 2008 revision,Difference (%) base=2006 revision,"with a population of less than 100,000 in 2009"
1,WORLD,,900,,0,Special groupings,900,World,900,World,,,,,,,,,,,,,,,,,,
2,More developed regions,a,901,,5,Development group,901,More developed regions,900,World,,,,,,,,,,,,,,,,,,
3,Less developed regions,b,902,,5,Development group,902,Less developed regions,900,World,,,,,,,,,,,,,,,,,,
4,Least developed countries,c,941,,5,Development group,941,Least developed countries,902,Less developed regions,,,,,,,,,,,,,,,,,,
5,"Less developed regions, excluding least developed countries",d,934,,5,Development group,934,"Less developed regions, excluding least developed countries",902,Less developed regions,,,,,,,,,,,,,,,,,,
6,"Less developed regions, excluding China",,948,,12,Special groupings,948,"Less developed regions, excluding China",902,Less developed regions,,,,,,,,,,,,,,,,,,
7,Sub-Saharan Africa,e,947,,12,Special groupings,947,Sub-Saharan Africa,902,Less developed regions,,,,,,,,,,,,,,,,,,
8,AFRICA,,903,,2,Major Area,903,Africa,900,World,,,,,,,,,,,,,,,,,,
9,Eastern Africa,,910,,3,Region,910,Eastern Africa,903,Africa,,,,,,,,,,,,,,,,,,
10,Burundi,,108,BDI,4,Country/Area,910,Eastern Africa,903,Africa,No,Yes,Yes,No,Yes,1.96,No,Yes,No,No,No,5.36,1994,13,3.2,2.4,-0.4,No
11,Comoros,,174,COM,4,Country/Area,910,Eastern Africa,903,Africa,No,Yes,Yes,No,No,0.04,Yes,No,No,No,No,,,,,,,No
12,Djibouti,,262,DJI,4,Country/Area,910,Eastern Africa,903,Africa,No,Yes,Yes,No,Yes,3.05,No,Yes,No,No,No,3.11,2003,4,3.1,3.1,0,No
13,Eritrea,,232,ERI,4,Country/Area,910,Eastern Africa,903,Africa,No,Yes,Yes,No,Yes,1.28,No,Yes,No,No,No,1.28,2007,0,2.4,1.2,-0.9,No
