"iso_o","iso_d","contig","comlang_off","comcol","reg.ind"
"1","533","533","0","0","0",1
"2","533","4","0","0","0",0
"3","533","24","0","0","0",0
"5","533","8","0","0","0",0
"7","533","530","0","1","1",0
"8","533","784","0","0","0",0
"9","533","32","0","1","0",0
"10","533","51","0","0","0",0
"12","533","36","0","0","0",0
"13","533","40","0","0","0",0
"14","533","31","0","0","0",0
"15","533","108","0","0","0",0
"16","533","56","0","1","0",0
"17","533","204","0","0","0",0
"18","533","854","0","0","0",0
"19","533","50","0","0","0",0
"20","533","100","0","0","0",0
"21","533","48","0","0","0",0
"22","533","44","0","0","0",0
"23","533","70","0","0","0",0
"24","533","112","0","0","0",0
"25","533","84","0","1","0",0
"27","533","68","0","1","0",0
"28","533","76","0","0","0",0
"29","533","52","0","0","0",0
"30","533","96","0","0","0",0
"31","533","64","0","0","0",0
"32","533","72","0","0","0",0
"33","533","140","0","0","0",0
"34","533","124","0","0","0",0
"36","533","756","0","0","0",0
"37","533","152","0","1","0",0
"38","533","156","0","0","0",0
"39","533","384","0","0","0",0
"40","533","120","0","0","0",0
"41","533","178","0","0","0",0
"43","533","170","0","1","0",0
"44","533","174","0","0","0",0
"45","533","132","0","0","0",0
"46","533","188","0","1","0",0
"47","533","192","0","1","0",0
"50","533","196","0","0","0",0
"51","533","203","0","0","0",0
"52","533","276","0","0","0",0
"53","533","262","0","0","0",0
"55","533","208","0","0","0",0
"56","533","214","0","1","0",0
"57","533","12","0","0","0",0
"58","533","218","0","1","0",0
"59","533","818","0","0","0",0
"60","533","232","0","0","0",0
"61","533","732","0","0","0",0
"62","533","724","0","1","0",0
"63","533","233","0","0","0",0
"64","533","231","0","0","0",0
"65","533","246","0","0","0",0
"66","533","242","0","0","0",0
"68","533","250","0","0","0",0
"70","533","583","0","0","0",0
"71","533","266","0","0","0",0
"72","533","826","0","0","0",0
"73","533","268","0","0","0",0
"74","533","288","0","0","0",0
"76","533","324","0","0","0",0
"77","533","312","0","0","0",0
"78","533","270","0","0","0",0
"79","533","624","0","0","0",0
"80","533","226","0","1","0",0
"81","533","300","0","0","0",0
"82","533","308","0","0","0",0
"84","533","320","0","1","0",0
"85","533","254","0","0","0",0
"86","533","328","0","0","0",0
"87","533","344","0","0","0",0
"88","533","340","0","1","0",0
"89","533","191","0","0","0",0
"90","533","332","0","0","0",0
"91","533","348","0","0","0",0
"92","533","360","0","0","1",0
"93","533","356","0","0","0",0
"94","533","372","0","0","0",0
"95","533","364","0","0","0",0
"96","533","368","0","0","0",0
"97","533","352","0","0","0",0
"98","533","376","0","0","0",0
"99","533","380","0","0","0",0
"100","533","388","0","0","0",0
"101","533","400","0","0","0",0
"102","533","392","0","0","0",0
"103","533","398","0","0","0",0
"104","533","404","0","0","0",0
"105","533","417","0","0","0",0
"106","533","116","0","0","0",0
"109","533","410","0","0","0",0
"110","533","414","0","0","0",0
"111","533","418","0","0","0",0
"112","533","422","0","0","0",0
"113","533","430","0","0","0",0
"114","533","434","0","0","0",0
"115","533","662","0","0","0",0
"116","533","144","0","0","0",0
"117","533","426","0","0","0",0
"118","533","440","0","0","0",0
"119","533","442","0","0","0",0
"120","533","428","0","0","0",0
"121","533","446","0","0","0",0
"122","533","504","0","0","0",0
"123","533","498","0","0","0",0
"124","533","450","0","0","0",0
"125","533","462","0","0","0",0
"126","533","484","0","1","0",0
"128","533","807","0","0","0",0
"129","533","466","0","0","0",0
"130","533","470","0","0","0",0
"131","533","104","0","0","0",0
"132","533","496","0","0","0",0
"133","533","316","0","0","0",0
"134","533","508","0","0","0",0
"135","533","478","0","0","0",0
"137","533","474","0","0","0",0
"138","533","480","0","0","0",0
"139","533","454","0","0","0",0
"140","533","458","0","0","0",0
"141","533","516","0","0","0",0
"142","533","540","0","0","0",0
"143","533","562","0","0","0",0
"145","533","566","0","0","0",0
"146","533","558","0","1","0",0
"148","533","528","0","1","0",0
"149","533","578","0","0","0",0
"150","533","524","0","0","0",0
"152","533","554","0","0","0",0
"153","533","512","0","0","0",0
"154","533","586","0","0","0",0
"155","533","275","0","0","0",0
"156","533","591","0","1","0",0
"158","533","604","0","1","0",0
"159","533","608","0","0","0",0
"161","533","598","0","0","0",0
"162","533","616","0","0","0",0
"163","533","630","0","1","0",0
"164","533","408","0","0","0",0
"165","533","620","0","0","0",0
"166","533","600","0","1","0",0
"167","533","258","0","0","0",0
"168","533","634","0","0","0",0
"169","533","638","0","0","0",0
"170","533","642","0","0","0",0
"171","533","643","0","0","0",0
"172","533","646","0","0","0",0
"173","533","682","0","0","0",0
"174","533","736","0","0","0",0
"175","533","686","0","0","0",0
"176","533","702","0","0","0",0
"178","533","90","0","0","0",0
"179","533","694","0","0","0",0
"180","533","222","0","1","0",0
"182","533","706","0","0","0",0
"184","533","678","0","0","0",0
"185","533","740","0","1","1",0
"186","533","703","0","0","0",0
"187","533","705","0","0","0",0
"188","533","752","0","0","0",0
"189","533","748","0","0","0",0
"191","533","760","0","0","0",0
"193","533","148","0","0","0",0
"194","533","768","0","0","0",0
"195","533","764","0","0","0",0
"196","533","762","0","0","0",0
"198","533","795","0","0","0",0
"199","533","626","0","0","0",0
"200","533","776","0","0","0",0
"201","533","780","0","0","0",0
"202","533","788","0","0","0",0
"203","533","792","0","0","0",0
"206","533","834","0","0","0",0
"207","533","800","0","0","0",0
"208","533","804","0","0","0",0
"209","533","858","0","1","0",0
"210","533","840","0","0","0",0
"211","533","860","0","0","0",0
"212","533","670","0","0","0",0
"213","533","862","0","1","0",0
"215","533","704","0","0","0",0
"216","533","548","0","0","0",0
"218","533","882","0","0","0",0
"219","533","887","0","0","0",0
"220","533","499","0","0","0",0
"221","533","710","0","0","0",0
"222","533","180","0","0","0",0
"223","533","894","0","0","0",0
"224","533","716","0","0","0",0
"225","4","533","0","0","0",0
"226","4","4","0","0","0",1
"227","4","24","0","0","0",0
"229","4","8","0","0","0",0
"231","4","530","0","0","0",0
"232","4","784","0","0","0",0
"233","4","32","0","0","0",0
"234","4","51","0","0","0",0
"236","4","36","0","0","0",0
"237","4","40","0","0","0",0
"238","4","31","0","0","0",0
"239","4","108","0","0","0",0
"240","4","56","0","0","0",0
"241","4","204","0","0","0",0
"242","4","854","0","0","0",0
"243","4","50","0","0","0",0
"244","4","100","0","0","0",0
"245","4","48","0","0","0",0
"246","4","44","0","0","0",0
"247","4","70","0","0","0",0
"248","4","112","0","0","0",0
"249","4","84","0","0","0",0
"251","4","68","0","0","0",0
"252","4","76","0","0","0",0
"253","4","52","0","0","0",0
"254","4","96","0","0","0",0
"255","4","64","0","0","0",0
"256","4","72","0","0","0",0
"257","4","140","0","0","0",0
"258","4","124","0","0","0",0
"260","4","756","0","0","0",0
"261","4","152","0","0","0",0
"262","4","156","1","0","0",0
"263","4","384","0","0","0",0
"264","4","120","0","0","0",0
"265","4","178","0","0","0",0
"267","4","170","0","0","0",0
"268","4","174","0","0","0",0
"269","4","132","0","0","0",0
"270","4","188","0","0","0",0
"271","4","192","0","0","0",0
"274","4","196","0","0","0",0
"275","4","203","0","0","0",0
"276","4","276","0","0","0",0
"277","4","262","0","0","0",0
"279","4","208","0","0","0",0
"280","4","214","0","0","0",0
"281","4","12","0","0","0",0
"282","4","218","0","0","0",0
"283","4","818","0","0","0",0
"284","4","232","0","0","0",0
"285","4","732","0","0","0",0
"286","4","724","0","0","0",0
"287","4","233","0","0","0",0
"288","4","231","0","0","0",0
"289","4","246","0","0","0",0
"290","4","242","0","0","0",0
"292","4","250","0","0","0",0
"294","4","583","0","0","0",0
"295","4","266","0","0","0",0
"296","4","826","0","0","0",0
"297","4","268","0","0","0",0
"298","4","288","0","0","0",0
"300","4","324","0","0","0",0
"301","4","312","0","0","0",0
"302","4","270","0","0","0",0
"303","4","624","0","0","0",0
"304","4","226","0","0","0",0
"305","4","300","0","0","0",0
"306","4","308","0","0","0",0
"308","4","320","0","0","0",0
"309","4","254","0","0","0",0
"310","4","328","0","0","0",0
"311","4","344","0","0","0",0
"312","4","340","0","0","0",0
"313","4","191","0","0","0",0
"314","4","332","0","0","0",0
"315","4","348","0","0","0",0
"316","4","360","0","0","0",0
"317","4","356","0","0","0",0
"318","4","372","0","0","0",0
"319","4","364","1","1","0",0
"320","4","368","0","0","0",0
"321","4","352","0","0","0",0
"322","4","376","0","0","0",0
"323","4","380","0","0","0",0
"324","4","388","0","0","0",0
"325","4","400","0","0","0",0
"326","4","392","0","0","0",0
"327","4","398","0","0","0",0
"328","4","404","0","0","0",0
"329","4","417","0","0","0",0
"330","4","116","0","0","0",0
"333","4","410","0","0","0",0
"334","4","414","0","0","0",0
"335","4","418","0","0","0",0
"336","4","422","0","0","0",0
"337","4","430","0","0","0",0
"338","4","434","0","0","0",0
"339","4","662","0","0","0",0
"340","4","144","0","0","0",0
"341","4","426","0","0","0",0
"342","4","440","0","0","0",0
"343","4","442","0","0","0",0
"344","4","428","0","0","0",0
"345","4","446","0","0","0",0
"346","4","504","0","0","0",0
"347","4","498","0","0","0",0
"348","4","450","0","0","0",0
"349","4","462","0","0","0",0
"350","4","484","0","0","0",0
"352","4","807","0","0","0",0
"353","4","466","0","0","0",0
"354","4","470","0","0","0",0
"355","4","104","0","0","0",0
"356","4","496","0","0","0",0
"357","4","316","0","0","0",0
"358","4","508","0","0","0",0
"359","4","478","0","0","0",0
"361","4","474","0","0","0",0
"362","4","480","0","0","0",0
"363","4","454","0","0","0",0
"364","4","458","0","0","0",0
"365","4","516","0","0","0",0
"366","4","540","0","0","0",0
"367","4","562","0","0","0",0
"369","4","566","0","0","0",0
"370","4","558","0","0","0",0
